"Actores","Director","Genero","Descripcion","Anho","Titulo"
"Sandra Oh, Jodie Comer, Fiona Shaw, Kim Bodnia",,"Action, Adventure, Drama, Thriller","After a series of events, the lives of a security operative and an assassin become inextricably linked.","08 Apr 2018","Killing Eve"
"Stephan James, Julia Roberts, Bobby Cannavale, Shea Whigham",,"Drama, Thriller","Heidi works at Homecoming, a facility helping soldiers transition to civilian life. Years later when the Department of Defense questions why she left, Heidi realizes there's a whole other story behind the one she's been telling herself.","02 Nov 2018","Homecoming"
"Haluk Bilginer, Nur Sürer, Ali Atay, Okan Yalabik",,"Crime, Drama, Mystery","Cevdet (Haluk Bilginer), a retired commissioner, and his wife spend their pensions in peace on a farm away from the city. Suddenly the life of the family is destroyed by the sudden arrival of a terrible news from the little son.","27 Jan 2017","Masum"
"Lesley Manville, Kate Fleetwood, Holli Dempsey, Eloise Smyth",,"Drama","Brothel owner Margaret Wells struggles to raise her daughters in London during the 18th century.","29 Mar 2017","Harlots"
"Jonathan Groff, Holt McCallany, Anna Torv, Sonny Valicenti",,"Crime, Drama, Thriller","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","13 Oct 2017","Mindhunter"
"Milo Ventimiglia, Mandy Moore, Sterling K. Brown, Chrissy Metz",,"Comedy, Drama, Romance","A heartwarming and emotional story about a unique set of triplets, their struggles, and their wonderful parents.","20 Sep 2016","This Is Us"
"Brandon Scott, Marina Stephenson Kerr, Abigail Pniowsky, Diana Bentley",,"Drama, Fantasy, Horror, Mystery, Thriller","An anthology series based on popular Internet Creepypastas Candle Cove, The No-End House, Butcher's Block, and The Dream Door.","11 Oct 2016","Channel Zero"
"Alfonso Herrera, Ben Daniels, Kurt Egyiawan, Hannah Kasulka",,"Drama, Horror, Mystery, Thriller","Follows three priests dealing with cases of a demonic presence targeting a family and a foster home.","23 Sep 2016","The Exorcist"
"Doona Bae, Jamie Clayton, Tina Desai, Tuppence Middleton",,"Drama, Mystery, Sci-Fi, Thriller","A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.","05 Jun 2015","Sense8"
"Will Arnett, Amy Sedaris, Alison Brie, Aaron Paul",,"Animation, Comedy, Drama","BoJack Horseman was the star of the hit television show 'Horsin' Around' in the '80s and '90s, now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.","22 Aug 2014","BoJack Horseman"
"Jennifer Aniston, Courteney Cox, Lisa Kudrow, Matt LeBlanc","N/A","Comedy, Romance","Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","22 Sep 1994","Friends"
"Kathryn Hahn, Jackson White, Owen Teague, Jen Richards","N/A","Comedy","A single mom whose son has moved out for college looks to begin a new life on her own.","27 Oct 2019","Mrs. Fletcher"
"Jeff Daniels, Emily Mortimer, John Gallagher Jr., Alison Pill","N/A","Drama","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.","24 Jun 2012","The Newsroom"
"Jon Hamm, Elisabeth Moss, Vincent Kartheiser, January Jones","N/A","Drama","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","19 Jul 2007","Mad Men"
"Robert Wuhl, Sandra Oh, Jim Turner, Michael Boatman","N/A","Comedy, Sport","Arliss Michaels is not a sports agent, he is a sports super agent. To his team of associates, the athletes he represents and the world around them, he is God. He is like Jerry Maguire, but ...","10 Aug 1996","Arli$$"
"Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon","N/A","Comedy, Drama, Romance","Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the 1990s.","06 Jun 1998","Sex and the City"
